TEXT,DEPARTURE,DESTINATION,STEP
je veux partir de marseille pour Paris,marseille,paris,
j'aimerais me rendre à Lyon en quittant Abainville,Abainville,lyon,
Je quitte Abilly pour Ablon-sur-Seine,Abilly,Ablon-sur-Seine,
itinéraire de voyage de Nice vers Ableiges,Nice,Ableiges,
Quel est l'itinéraire entre Abbecourt et Abbenans,Abbenans,Abbecourt,
Quel trajet pour Paris Lyon,Paris,Lyon,
J'aimerais me rendre sur Abbeville en partant d'Abergement-le-Grand,Abergement-le-Grand,Abbeville,
arrivée Abbévillers et départ Abondant,Abondant,Abbévillers,
Blanquefort Blanot origine du trajet Blanot,Blanot,Blanquefort,
Quel est l'itinéraire entre Bois-le-Roi et Paris,Bois-le-Roi,Bonnières-sur-Seine,
je viens de Bonnes et je veux aller à Bonnétage,Bonnes,Bonnétage,
trajet Bonnieux Bonnœil,Bonnieux,Bonnœil,
itinéraire Bouessay Bouffémont,Bouessay,Bouffémont,
le départ et l'arrivée de mon voyage sont respectivement Casteide-Cami et Casteljaloux,Casteide-Cami,Casteljaloux,
L'arrivée et le départ de mon voyage sont respectivement Castelgaillard et Casteljaloux,Castelgaillard,Casteljaloux,
Ma destination et ma provenance sont respectivement Castans et Crevin,Crevin,Castans,
Ma provenance et ma destination sont respectivement Creysseilles et Crézilles,Creysseilles,Crézilles,
Je me rends à Crillon en partant de Crion,Crion,Crillon,
j'aimerais partir de Paris et passer par biarritz pour me rendre à Marseille,paris,marseille,
Je suis à Charenton-Le-Pont et je souhaite me rendre à Vélizy,Charenton-Le-Pont,Vélizy,
J'irai bien à la gare d'austerlitz depuis la gare de toulouse,gare d'austerlitz,gare de toulouse,
j'aimerais partir de Paris et passer par biarritz pour me rendre à Marseille,paris,marseille,
Je suis à Charenton-Le-Pont et je souhaite me rendre à Vélizy, Charenton-Le-Pont,Vélizy,
