TEXT,DEPARTURE,DESTINATION,STEP
je veux partir de marseille pour Paris,Marseille,Paris,
j'aimerais me rendre à Lyon en quittant Abainville,Abainville,Lyon,
Je quitte Abilly pour Ablon-sur-Seine,Abilly,Ablon-sur-Seine,
itiéraire de voyage quittant Nice où je suis et continuer vers Ableiges,Nice,Ableiges,
Quel est l'itinéraire de voyage entre Abbecourt et Abbenans,Abbenans,Abbecourt,
Quel trajet pour Paris Lyon,Paris,Lyon,
chemin de voyage Abbeville-Abergement-le-Grand avec pour départ Abergement-le-Grand,Abergement-le-Grand,Abbeville,
arrivée Abbévillers et départ Abondant ,Abondant,Abbévillers,
Blanquefort-Blanot origine du trajet Blanot,Blanot,Blanquefort,
Se deplacer de Blavozy et se rendre enfin dans la ville de Bois-Colombes,Blavozy,Bois-Colombes,
se rendre dans la ville de Boisleux-Saint-Marc en se déplacant de Boismont,Boismont,Boisleux-Saint-Marc,
Quel est l'itinéraire entre Bois-le-Roi et Paris,Bois-le-Roi,Bonnières-sur-Seine,
je viens de Bonnes et je veux aller à Bonnétage,Bonnes,Bonnétage,
trajet de voyage Bonnieux Bonnœil,Bonnieux,Bonnœil,
itinéraire Bouessay Bouffémont,Bouessay,Bouffémont,
sortant de Bougnon et se rendant à Castelmary,Bougnon,Castelmary,
" le départ et l'arrivée de mon voyage sont respectivement, Casteide-Cami et Casteljaloux",Casteide-Cami,Casteljaloux,
L'arrivée et le départ de mon voyage sont respectivement Castelgaillard et Casteljaloux,Castelgaillard,Casteljaloux,
"Ma destination et ma provenance sont respectivement, Castans et Crevin",Crevin,Castans,
"Ma provenance et ma destination sont respectivement, Creysseilles et Crézilles",Creysseilles,Crézilles,
Je me rends à Crillon en sortant de Crion,Crion,Crillon,
